recording,subject,trial,timestamp,true_target,pred_ridge,pred_random_forest,pred_xgboost,pred_baseline_global_mean,pred_baseline_subject_mean,pred_baseline_ceiling,moving_avg,slope_short,slope_medium,decline_persistence
08M_1,8,1,6404.0,66.71289163019205,71.97814025632744,66.41494800701,56.03019714355469,68.1300448600817,68.15116839562234,100.0,74.19620132446289,-4.438629150391479,-1.7352289472307065,2
08M_1,8,1,6412.0,70.8680108866529,81.58132450119409,81.85758875293236,81.09426879882812,68.1300448600817,68.15116839562234,100.0,73.85841846466064,-4.733950042724773,-0.1317831675212422,0
08M_1,8,1,6420.0,74.504460397349,83.56751377897018,82.92851160773786,86.15384674072266,68.1300448600817,68.15116839562234,100.0,74.65412139892578,5.220043945313018,1.5281720842634092,0
08M_1,8,1,6428.0,77.68698398515703,82.83015263105898,74.6730162465274,77.96517944335938,68.1300448600817,68.15116839562234,100.0,76.04353332519531,7.086452484131007,0.9679252987815034,1
08M_1,8,1,6436.0,80.47224371643142,73.07890249490598,90.41965378080684,87.34022521972656,68.1300448600817,68.15116839562234,100.0,77.76490306854248,1.0549201965330433,1.6442163558233573,0
08M_1,8,1,6444.0,82.90982871984751,78.46429600330637,89.43244847121115,84.92774200439453,68.1300448600817,68.15116839562234,100.0,80.05848598480225,0.5696731567382378,1.0426384153818995,1
08M_1,8,1,6452.0,85.04313807773649,80.02116625121329,87.55363655698457,87.40177154541016,68.1300448600817,68.15116839562234,100.0,79.7527027130127,2.5897293090821707,2.703459421793551,0
08M_1,8,1,6460.0,86.91015350902556,54.227899824887785,71.86134469606665,62.68354797363281,68.1300448600817,68.15116839562234,100.0,77.94959735870361,-7.149600219724848,0.9977107275101393,1
08M_1,8,1,6468.0,88.54411560073123,32.15583078213983,52.04183864285376,50.98591995239258,68.1300448600817,68.15116839562234,100.0,77.31906270980835,-12.654368972780029,-3.5977695555918894,2
08M_1,8,1,6476.0,89.97411562771961,68.51875792230554,70.1577568777705,67.41175842285156,68.1300448600817,68.15116839562234,100.0,75.60874891281128,-7.166766738892314,-4.018891879490528,0
08M_1,8,1,6484.0,91.22561349757056,69.07083320810885,63.207377578866776,54.079811096191406,68.1300448600817,68.15116839562234,100.0,71.59949445724487,-0.9385372161865085,-4.683138120742502,1
08M_1,8,1,6492.0,92.3208910421032,88.3463116762254,86.60186308596845,90.67642211914062,68.1300448600817,68.15116839562234,100.0,73.18839979171753,10.57395591735811,-2.4113564718337015,0
08M_1,8,1,6500.0,93.27944872602502,75.4223684447666,79.87277918865709,74.59466552734375,68.1300448600817,68.15116839562234,100.0,71.59520483016968,5.814533233642616,-0.7779006503876688,1
08M_1,8,1,6508.0,94.118352835757,72.97439344631303,89.00608358668971,84.50787353515625,68.1300448600817,68.15116839562234,100.0,71.54272127151489,7.520243072509813,1.7266412008372947,0
08M_1,8,1,6516.0,94.85253932982992,87.67356011047423,90.08366806724032,88.53901672363281,68.1300448600817,68.15116839562234,100.0,71.68487691879272,0.35009918212826535,4.842183113097633,0
08M_1,8,1,6524.0,95.49507976064422,69.70221857302319,87.14348329585792,85.58828735351562,68.1300448600817,68.15116839562234,100.0,74.54796934127808,3.701200866699201,5.036372548057872,1
08M_1,8,1,6532.0,96.05741400209924,79.70461556993385,69.73448817912603,69.23660278320312,68.1300448600817,68.15116839562234,100.0,76.8293046951294,-4.8764541625989075,2.0692533765521097,2
08M_1,8,1,6540.0,96.54955392660494,78.90345014573836,80.72030457392543,86.02532958984375,68.1300448600817,68.15116839562234,100.0,79.15600109100342,-2.389274597167879,1.8265659695581455,0
08M_1,8,1,6548.0,96.98026165776815,79.47502624031195,86.19303706445871,87.41045379638672,68.1300448600817,68.15116839562234,100.0,83.32233142852783,2.2255226135244888,-0.1722976139614432,0
